kibana  | [2026-01-09T18:15:13.736+00:00][INFO ][plugins.cloudSecurityPosture] Cloud Security telemetry: Rules payload was sent successfully
kibana  | [2026-01-09T18:15:13.792+00:00][INFO ][plugins.cloudSecurityPosture] Cloud Security telemetry: Cloud Accounts payload was sent successfully
kibana  | [2026-01-09T18:15:13.815+00:00][ERROR][plugins.securitySolution] Error fetching value lists overview metrics: Cannot read properties of undefined (reading 'by_type')
kibana  | [2026-01-09T18:15:13.840+00:00][ERROR][plugins.securitySolution] Error fetching value list items metrics: Cannot read properties of undefined (reading 'max_items_per_list')
kibana  | [2026-01-09T18:15:13.847+00:00][INFO ][plugins.cloudSecurityPosture] Cloud Security telemetry: Alerts payload was sent successfully
kibana  | [2026-01-09T18:15:13.964+00:00][INFO ][plugins.cloudSecurityPosture] Cloud Security telemetry: Installation payload was sent successfully
kibana  | [2026-01-09T18:15:14.291+00:00][INFO ][plugins.cloudSecurityPosture] Cloud Security telemetry: Indices payload was sent successfully
kibana  | [2026-01-09T18:15:14.391+00:00][INFO ][plugins.cloudSecurityPosture] Cloud Security telemetry: Muted Rules payload was sent successfully
kibana  | [2026-01-09T18:15:19.769+00:00][INFO ][plugins.fleet] Beginning fleet setup
kibana  | [2026-01-09T18:15:19.769+00:00][INFO ][plugins.fleet] Cleaning old indices
kibana  | [2026-01-09T18:15:19.823+00:00][WARN ][plugins.fleet] Fleet setup attempt 9 failed, will retry after backoff FleetEncryptedSavedObjectEncryptionKeyRequired: Agent binary source needs encrypted saved object api key to be set
kibana  |     at DownloadSourceService.create (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:88:13)
kibana  |     at DownloadSourceService.ensureDefault (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:235:25)
kibana  |     at processTicksAndRejections (node:internal/process/task_queues:105:5)
kibana  |     at createSetupSideEffects (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup.js:94:33)
kibana  |     at awaitIfPending (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup_utils.js:35:20)
kibana  |     at withLock (/usr/share/kibana/node_modules/@kbn/lock-manager/src/lock_manager_client.js:272:12)
kibana  |     at RetryOperation._fn (/usr/share/kibana/node_modules/p-retry/index.js:50:12)
